Year,Option,Spec,Space,"Intial Admit
2019,Major,Major (1223): Earth and Ocean Sciences (EOSC),,16,0,24,84.8,58.06
2019,Major,Major (1263): Environmental Sciences (ENSC),60,60,21,60,90.82,65.72
2019,Major,Major (3428) Geographical Sciences,,11,0,14,88.11,54.87
2019,Major,Major (0001): Geophysics,,3,0,3,,
2019,Major,Major (3193): Geology,,15,0,20,86.4,59.1
2019,Major,Major (1682): Integrated Sciences (INSC),100,100,120,100,94.31,76.93
2019,Major,Major (0456): Mathematics (MATH),135,91,0,124,92.5,53.56
2019,Major,Major (1153): Microbiology and Immunology (MBIM),110,110,158,110,93.61,79.72
2019,Major,Major (0311): Pharmacology (PCTH),25,25,66,25,93.59,87.11
2019,Major,Major (0524) Physics (PHYS),,36,0,37,86.8,55.68
2019,Combined Major,,,,,,,
2019,Combined Major,"Combined Major (3382): Biochemistry, Chemistry (BIOC, CHEM)",13,7,0,9,85.09,63.93
2019,Combined Major,"Combined Major (3440): Chemical Biology (BIOL, CHEM)",39,39,31,38,93.4,72.9
2019,Combined Major,Combined Major (3096): Science,200,108,0,190,93.64,43.6
2019,Combined Major,Combined Major (3144): Microbiology and Oceanography,10,10,0,10,82.89,69.17
2019,Combined Major,Combined Major (3125): Oceanography and Biology,,18,0,25,80.41,42
2019,Combined Major,Combined Major (3383): Oceanography and Chemistry,,1,0,1,,
2019,Combined Major,Combined Major (3126): Oceanography and Physics,,0,0,0,,
2019,Honours,,,,,,,
2019,Honours,Honours (1093): Biophysics (BIOP),25,5,0,5,97.12,77.3
2019,Honours,Honours (1136): Biotechnology,21,20,0,19,91.29,72.25
2019,Honours,Honours (0577): Fisheries Oceanography,2,0,0,0,,
2019,Honours,Honours (0166): Mathematics (MATH),20,6,0,6,86.25,76.3
2019,Honours,Honours (0344): Physics (PHYS),,11,0,11,88.6,76.66
2019,Honours,"Honours (3221): Cellular, Anatomical and Physiological Sciences (CAPS)",29,29,29,29,97.19,83.25
2019,Combined Honours,,,,,,,
2019,Combined Honours,Combined Honours (3508): Biochemistry and Forensic Science,18,18,3,18,89.93,73.48
2019,Combined Honours,"Combined Honours (0206): Chemistry and Mathematics (CHEM, MATH)",,2,0,2,,
2019,Combined Honours,"Combined Honours (0517): Chemical Physics (CHEM, PHYS)",,3,0,3,,
2019,Combined Honours,"Combined Honours (0009): Physics and Astronomy (PHYS, ASTR)",,7,0,7,87.9,75.6
2019,Combined Honours,"Combined Honours (0014): Physics and Mathematics (PHYS, MATH)",,8,0,9,95.77,79.5
,,,,,,,,
2020,CPSC (Excluding Domestic Student),,(122+22)-1 ELTR = 141,,,,,
2020,CPSC (Excluding Domestic Student),Major Cognitive Systems(1226): Computational Intelligence and Design,5,3,46,3,,
2020,CPSC (Excluding Domestic Student),Major (0376): Computer Science (CPSC) International Students Only,,77,111,81,94.13,83.53
2020,CPSC (Excluding Domestic Student),Combined Major (1370): Computer Science and Biology,7,2,0,2,,
2020,CPSC (Excluding Domestic Student),Combined Major (3401): Computer Science and Chemistry,,0,1,0,0,0
2020,CPSC (Excluding Domestic Student),Combined Major (1429): Computer Science and Mathematics,,15,21,15,92.28,83.83
2020,CPSC (Excluding Domestic Student),Combined Major (1371): Computer Science & Microbiology and Immunology,8,1,0,1,,
2020,CPSC (Excluding Domestic Student),Combined Major (1391): Computer Science and Physics,,7,5,7,94.37,83.83
2020,CPSC (Excluding Domestic Student),Combined Major (1375): Computer Science and Statistics (Also in STAT umbrella),,,34,36,95.4,83.53
2020,CPSC (Excluding Domestic Student),Major (0185): Mathematical Sciences (MASC) (Also in STAT umbrella),2,1,30,1,,
2020,CPSC (Excluding International Students),,290,,,,,
2020,CPSC (Excluding International Students),Major Cognitive Systems(1226): Computational Intelligence and Design,10,10,68,10,89,82.57
2020,CPSC (Excluding International Students),Major (0376): Computer Science (CPSC) Domestic Students Only,,215,121,217,96.68,79.9
2020,CPSC (Excluding International Students),Combined Major (1370): Computer Science and Biology,13,3,7,3,,
2020,CPSC (Excluding International Students),Combined Major (3401): Computer Science and Chemistry,,1,0,1,,
2020,CPSC (Excluding International Students),Combined Major (1429): Computer Science and Mathematics,,19,16,19,95.84,80.6
2020,CPSC (Excluding International Students),Combined Major (1371): Computer Science & Microbiology and Immunology,17,9,2,9,95,83.51
2020,CPSC (Excluding International Students),Combined Major (1391): Computer Science and Physics,,8,3,8,93,80.32
2020,CPSC (Excluding International Students),Combined Major (1375): Computer Science and Statistics (Also in STAT umbrella),,23,48,23,93.87,80.4
2020,CPSC (Excluding International Students),Major (0185): Mathematical Sciences (MASC) (Also in STAT umbrella),3,3,14,3,,
2020,STAT,,140-1 ELTR = 149,,,,,
2020,STAT,Major (0562): Statistics (STAT),,87,147,86,93.92,79.18
2020,STAT,Combined Major (1375): Computer Science and Statistics (Also in CPSC umbrella),,58,66,59,95.4,80.4
2020,STAT,Major (0185): Mathematical Sciences (MASC) (Also in CPSC umbrella),"5 (2 ISI, 3 Domestic)",4,44,4,,
2020,COGS,,64 - 1 ELTR = 63,,,,,
2020,COGS,Major Cognitive Systems(1225): Cognition and Brain,,50,57,51,89.77,74.93
2020,COGS,Major Cognitive Systems(1226): Computational Intelligence and Design (Also in CPSC umbrella),"15 (5 ISI, 10 Domestic)",13,114,13,91.4,82.57
2020,Major,,,,,,,
2020,Major,Major (0030): Astronomy (ASTR),,10,0,10,84.25,67.37
2020,Major,Major (0167): Atmospheric Science (ATSC),,3,0,3,,
2020,Major,Major (3502): Behavioural Neuroscience (PSYC),93,93,73,93,92.2,76
2020,Major,Major (0244): Biochemistry (BIOC),121,121,32,119,93.4,74.34
2020,Major,Major (3095): Biology (BIOL),380 - 2 ELTR = 393,371,0,386,95.96,52.78
2020,Major,Major (0409): Chemistry (CHEM),90,80,0,87,91.15,57.69
2020,Major,Major (1223): Earth and Ocean Sciences (EOSC),,28,0,37,93.51,59.81
2020,Major,Major (1263): Environmental Sciences (ENSC),64,64,7,61,92.58,62.83
2020,Major,Major (3428) Geographical Sciences,,14,0,17,85.44,55.85
2020,Major,Major (0001): Geophysics,,7,0,7,93.5,75.6
2020,Major,Major (3193): Geology,,19,0,21,88.1,66.09
2020,Major,Major (1682): Integrated Sciences (INSC),104,104,91,102,95.89,76.9
2020,Major,Major (0456): Mathematics (MATH),161 (20 seats added July 6),141,23,159,93.96,68.15
2020,Major,Major (1153): Microbiology and Immunology (MBIM),115 - 1 ELTR = 114,114,185,114,94.8,82.96
2020,Major,Major (0311): Pharmacology (PCTH),26,26,77,26,96.54,87.4
2020,Major,Major (0524) Physics (PHYS),,36,0,44,92.96,55.62
2020,Combined Major,,,,,,,
2020,Combined Major,"Combined Major (3382): Biochemistry, Chemistry (BIOC, CHEM)",13,13,10,12,94.8,79.59
2020,Combined Major,"Combined Major (3440): Chemical Biology (BIOL, CHEM)",42,42,23,41,94.93,75.76
2020,Combined Major,Combined Major (3096): Science,200,69,0,189,91.1,51.92
2020,Combined Major,Combined Major (3144): Microbiology and Oceanography,11,7,0,11,82.6,69.6
2020,Combined Major,Combined Major (3125): Oceanography and Biology,,14,0,18,94.7,63.55
2020,Combined Major,Combined Major (3383): Oceanography and Chemistry,,2,0,2,,
2020,Combined Major,Combined Major (3126): Oceanography and Physics,,2,0,2,,
2020,Honours,,,,,,,
2020,Honours,Honours (1136): Biotechnology,21,13,0,16,73.96,89.25
2020,Honours,Honours (0577): Fisheries Oceanography,2,0,0,0,0,0
2020,Honours,Honours (0166): Mathematics (MATH),20,15,0,19,99.4,75.2
2020,Honours,Honours (0344): Physics (PHYS),,14,0,13,94.9,74.68
2020,Honours,"Honours (3221): Cellular, Anatomical and Physiological Sciences (CAPS)",29,30,55,30,94.75,87.7
2020,Combined Honours,,,,,,,
2020,Combined Honours,Combined Honours (3508): Biochemistry and Forensic Science,17,15,0,17,94.84,71.23
2020,Combined Honours,Honours (1093): Biophysics (BIOP),25,5,0,5,93.12,77.8
2020,Combined Honours,"Combined Honours (0206): Chemistry and Mathematics (CHEM, MATH)",,1,0,2,,
2020,Combined Honours,"Combined Honours (0517): Chemical Physics (CHEM, PHYS)",,2,0,3,,
2020,Combined Honours,"Combined Honours (0009): Physics and Astronomy (PHYS, ASTR)",,13,0,13,90.7,76.33
2020,Combined Honours,"Combined Honours (0014): Physics and Mathematics (PHYS, MATH)",,12,0,13,96.5,73.34
2021,,,,,,,,
2021,CPSC (Excluding Domestic Student),,142,143,213,144,95.09,82.25
2021,CPSC (Excluding Domestic Student),Major Cognitive Systems(1226): Computational Intelligence and Design,5,4,26,4,87.42,82.93
2021,CPSC (Excluding Domestic Student),Major (0376): Computer Science (CPSC) International Students Only,,114,105,115,95.09,82.25
2021,CPSC (Excluding Domestic Student),Combined Major (1370): Computer Science and Biology,7,0,1,0,0,0
2021,CPSC (Excluding Domestic Student),Combined Major (3401): Computer Science and Chemistry,,0,2,0,0,0
2021,CPSC (Excluding Domestic Student),Combined Major (1429): Computer Science and Mathematics,,5,16,5,88,82.7
2021,CPSC (Excluding Domestic Student),Combined Major (1371): Computer Science & Microbiology and Immunology,8,0,0,0,0,0
2021,CPSC (Excluding Domestic Student),Combined Major (1391): Computer Science and Physics,,2,5,2,87.59,85.1
2021,CPSC (Excluding Domestic Student),Combined Major (1375): Computer Science and Statistics (Also in STAT umbrella),,18,29,18,92.21,82.4
2021,CPSC (Excluding Domestic Student),Major (0185): Mathematical Sciences (MASC) (Also in STAT umbrella),2,0,29,0,0,0
2021,CPSC (Excluding International Students),,290,290,305,290,97.19,82.33
2021,CPSC (Excluding International Students),Major Cognitive Systems(1226): Computational Intelligence and Design,10,7,35,7,92.92,82.7
2021,CPSC (Excluding International Students),Major (0376): Computer Science (CPSC) Domestic Students Only,,216,173,216,97.19,82.33
2021,CPSC (Excluding International Students),Combined Major (1370): Computer Science and Biology,13,8,11,8,88.97,82.42
2021,CPSC (Excluding International Students),Combined Major (3401): Computer Science and Chemistry,,3,4,3,91.86,84.9
2021,CPSC (Excluding International Students),Combined Major (1429): Computer Science and Mathematics,,8,10,8,92.4,87.13
2021,CPSC (Excluding International Students),Combined Major (1371): Computer Science & Microbiology and Immunology,17,11,6,11,92.25,82.87
2021,CPSC (Excluding International Students),Combined Major (1391): Computer Science and Physics,,11,5,11,92.12,84.07
2021,CPSC (Excluding International Students),Combined Major (1375): Computer Science and Statistics (Also in STAT umbrella),,25,26,25,94.5,82.4
2021,CPSC (Excluding International Students),Major (0185): Mathematical Sciences (MASC) (Also in STAT umbrella),3,1,17,1,,
2021,STAT,,159,159,258,159,95,79.7
2021,STAT,Major (0562): Statistics (STAT),,116,157,116,92.81,79.7
2021,STAT,Combined Major (1375): Computer Science and Statistics (Also in CPSC umbrella),,43,55,43,95,82.4
2021,STAT,Major (0185): Mathematical Sciences (MASC) (Also in CPSC umbrella),"5 (2 ISI, 3 Domestic)",1,46,1,,
2021,COGS,,,66,123,66,92.92,74.54
2021,COGS,Major Cognitive Systems(1225): Cognition and Brain,,55,44,55,90.12,74.54
2021,COGS,Major Cognitive Systems(1226): Computational Intelligence and Design (Also in CPSC umbrella),"15 (5 ISI, 10 Domestic)",11,79,11,92.92,82.7
2021,Major,,,,,,,
2021,Major,Major (0030): Astronomy (ASTR),,4,0,5,81.27,68.22
2021,Major,Major (0167): Atmospheric Science (ATSC),,3,0,4,85,67.42
2021,Major,Major (3502): Behavioural Neuroscience (PSYC),98 (+1 direct admit by Steven = 99),98,79,98,93.59,79.2
2021,Major,Major (0244): Biochemistry (BIOC),127 (+1 student from Warren = 128),127,17,127,95.96,71.41
2021,Major,Major (3095): Biology (BIOL),416 (+3 ELTR = 419),416,1,416,97.4,57.91
2021,Major,Major (0409): Chemistry (CHEM),94 (+1 ELTR = 95),67,0,69,92,57.92
2021,Major,Major (1223): Earth and Ocean Sciences (EOSC),,14,0,20,88,50
2021,Major,Major (1263): Environmental Sciences (ENSC),68,68,8,67,90.12,60.83
2021,Major,Major (3428) Geographical Sciences,,12,0,15,85.82,54
2021,Major,Major (0001): Geophysics,,1,0,1,80.54,80.54
2021,Major,Major (3193): Geology,,13,0,12,88.8,60.42
2021,Major,Major (1682): Integrated Sciences (INSC),110,110,55,110,95.59,77.21
2021,Major,Major (0456): Mathematics (MATH),175 (-1 ELTR = 174),173,14,174,95.06,65.1
2021,Major,Major (1153): Microbiology and Immunology (MBIM),99 (+1 ELTR = 100),99,185,98,95,82.73
2021,Major,Major (0311): Pharmacology (PCTH),25,25,60,25,94.74,86.71
2021,Major,Major (0524) Physics (PHYS),,30,0,36,87.2,61.68
2021,Combined Major,,,,,,,
2021,Combined Major,"Combined Major (3382): Biochemistry, Chemistry (BIOC, CHEM)",14,14,1,14,92.2,65.33
2021,Combined Major,"Combined Major (3440): Chemical Biology (BIOL, CHEM)",45,45,8,43,94.03,69.86
2021,Combined Major,Combined Major (3096): Science,211 (+1 ELTR = 212),85,0,185,89.31,45.66
2021,Combined Major,Combined Major (3144): Microbiology and Oceanography,12,8,0,11,81.82,62.92
2021,Combined Major,Combined Major (3125): Oceanography and Biology,22,20,0,22,91.79,55.3
2021,Combined Major,Combined Major (3383): Oceanography and Chemistry,,0,0,3,80.92,74.44
2021,Combined Major,Combined Major (3126): Oceanography and Physics,,1,0,1,78.41,78.41
2021,Honours,,,,,,,
2021,Honours,Honours (1136): Biotechnology,21 (+1 from David = 22),21,5,21,95.79,76.68
2021,Honours,Honours (0577): Fisheries Oceanography,2,0,0,0,0,0
2021,Honours,Honours (0166): Mathematics (MATH),25,12,0,14,92.29,77
2021,Honours,Honours (0344): Physics (PHYS),,8,0,8,93.67,78.3
2021,Honours,"Honours (3221): Cellular, Anatomical and Physiological Sciences (CAPS)",33,33,53,33,95.43,86
2021,Combined Honours,,,,,,,
2021,Combined Honours,Combined Honours (3508): Biochemistry and Forensic Science,19,19,2,19,90,74.1
2021,Combined Honours,Honours (1093): Biophysics (BIOP),25,5,0,7,89.37,72.16
2021,Combined Honours,"Combined Honours (0206): Chemistry and Mathematics (CHEM, MATH)",,1,0,1,,
2021,Combined Honours,"Combined Honours (0517): Chemical Physics (CHEM, PHYS)",,1,0,1,,
2021,Combined Honours,"Combined Honours (0009): Physics and Astronomy (PHYS, ASTR)",,,,,88.81,80.4
2021,Combined Honours,"Combined Honours (0014): Physics and Mathematics (PHYS, MATH)",,,,,95.35,73.96
2022,,,,,,,,
2022,CPSC (Excluding Domestic Student),,142,,,,,
2022,CPSC (Excluding Domestic Student),Major Cognitive Systems(1226): Computational Intelligence and Design,5,5,33,5,93.48,86.5
2022,CPSC (Excluding Domestic Student),Major (0376): Computer Science (CPSC) International Students Only,,97,114,97,98.8,83
2022,CPSC (Excluding Domestic Student),Combined Major (1370): Computer Science and Biology,7,4,0,4,,
2022,CPSC (Excluding Domestic Student),Combined Major (3401): Computer Science and Chemistry,,0,0,0,0,0
2022,CPSC (Excluding Domestic Student),Combined Major (1429): Computer Science and Mathematics,,19,15,19,98.6,84.6
2022,CPSC (Excluding Domestic Student),Combined Major (1371): Computer Science & Microbiology and Immunology,8,1,1,1,,
2022,CPSC (Excluding Domestic Student),Combined Major (1391): Computer Science and Physics,,5,6,5,89.84,84.13
2022,CPSC (Excluding Domestic Student),Combined Major (1375): Computer Science and Statistics (Also in STAT umbrella),,9,25,9,95.6,83.65
2022,CPSC (Excluding Domestic Student),Major (0185): Mathematical Sciences (MASC) (Also in STAT umbrella),2,2,23,3,,
2022,CPSC (Excluding International Students),,288 +2 ELTR = 290,,,,,
2022,CPSC (Excluding International Students),Major Cognitive Systems(1226): Computational Intelligence and Design,10,3,34,3,87.71,81.84
2022,CPSC (Excluding International Students),Major (0376): Computer Science (CPSC) Domestic Students Only,1 ELTR,225,150,225,96.97,81.62
2022,CPSC (Excluding International Students),Combined Major (1370): Computer Science and Biology,12 (+1 ELTR = 13),6,6,6,95.17,82.09
2022,CPSC (Excluding International Students),Combined Major (3401): Computer Science and Chemistry,,1,1,1,,
2022,CPSC (Excluding International Students),Combined Major (1429): Computer Science and Mathematics,,20,17,20,96.29,82.93
2022,CPSC (Excluding International Students),Combined Major (1371): Computer Science & Microbiology and Immunology,17,8,4,8,87.53,81.6
2022,CPSC (Excluding International Students),Combined Major (1391): Computer Science and Physics,,5,5,5,93.86,87.67
2022,CPSC (Excluding International Students),Combined Major (1375): Computer Science and Statistics (Also in STAT umbrella),,20,16,20,97.08,81.75
2022,CPSC (Excluding International Students),Major (0185): Mathematical Sciences (MASC) (Also in STAT umbrella),3,0,20,0,0,0
2022,STAT,,159,,,,,
2022,STAT,Major (0562): Statistics (STAT),,128,108,128,92.7,77.5
2022,STAT,Combined Major (1375): Computer Science and Statistics (Also in CPSC umbrella),,29,0,29,97.08,81.75
2022,STAT,Major (0185): Mathematical Sciences (MASC) (Also in CPSC umbrella),"5 (2 ISI, 3 Domestic)",2,43,3,,
2022,COGS,,63 + 1 ELTR = 64,,,,,
2022,COGS,Major Cognitive Systems(1225): Cognition and Brain,,55,73,55,88.7,77.29
2022,COGS,Major Cognitive Systems(1226): Computational Intelligence and Design (Also in CPSC umbrella),,8,67,8,93.48,81.84
2022,Major,,,,,,,
2022,Major,Major (0030): Astronomy (ASTR),,7,0,7,93.2,73.15
2022,Major,Major (0167): Atmospheric Science (ATSC),,6,0,6,88.2,60.21
2022,,,,,,,,
2022,Major,Major (0244): Biochemistry (BIOC),120 (=1 ELTR = 121),120,16,119,95.96,71
2022,Major,Major (3095): Biology (BIOL),400,349,0,365,94.8,52.09
2022,Major,Major (0409): Chemistry (CHEM),90,50,0,55,97,54.9
2022,Major,Major (1223): Earth and Ocean Sciences (EOSC),,23,0,30,84.31,56.67
2022,Major,Major (1263): Environmental Sciences (ENSC),65 (+ 3 ELTR = 68),65,17,64,93.2,67.59
2022,Major,Major (3428) Geographical Sciences,,10,0,12,83.87,49.71
2022,Major,Major (0001): Geophysics,,1,0,1,,
2022,Major,Major (3193): Geology,,21,0,23,92.33,61
2022,Major,Major (1682): Integrated Sciences (INSC),109 (+1 ELTR = 110),109,38,107,92.62,73.79
2022,Major,Major (0456): Mathematics (MATH),174 (+1 ELTR = 175),174,31,174,96.12,69.13
2022,Major,Major (1153): Microbiology and Immunology (MBIM),100,99,124,100,94.9,81.66
2022,Major ,Major (3742): Neuroscience,150,150,147,151,94.17,79.21
2022,Major,Major (0311): Pharmacology (PCTH),23,23,47,23,95.06,85.37
2022,Major,Major (0524) Physics (PHYS),,45,0,49,90.62,52.5
2022,Combined Major,,,,,,,
2022,Combined Major,"Combined Major (3382): Biochemistry, Chemistry (BIOC, CHEM)",13,11,0,13,89.12,68.8
2022,Combined Major,"Combined Major (3440): Chemical Biology (BIOL, CHEM)",43,42,13,42,91.86,73.41
2022,Combined Major,Combined Major (3096): Science,185,85,0,161,94.15,48.2
2022,Combined Major,Combined Major (3144): Microbiology and Oceanography,11,11,2,11,83.35,71.7
2022,Combined Major,Combined Major (3125): Oceanography and Biology,22,18,0,19,88.8,55.85
2022,Combined Major,Combined Major (3383): Oceanography and Chemistry,,2,0,2,,
2022,Combined Major,Combined Major (3126): Oceanography and Physics,,1,0,1,,
2022,Honours,,,,,,,
2022,Honours,Honours (1136): Biotechnology,21,17,0,17,93.74,74.22
2022,Honours,Honours (0577): Fisheries Oceanography,2,0,0,0,0,0
2022,Honours,Honours (0166): Mathematics (MATH),25,9,0,12,87,77
2022,Honours,Honours (0344): Physics (PHYS),,7,0,7,89.45,81.56
2022,Honours,"Honours (3221): Cellular, Anatomical and Physiological Sciences (CAPS)",32,32,20,31,94.7,82.79
2022,Combined Honours,,,,,,,
2022,Combined Honours,Combined Honours (3508): Biochemistry and Forensic Science,18,18,7,18,93.82,74.09
2022,Combined Honours,Honours (1093): Biophysics (BIOP),25,2,0,2,92.59,88.65
2022,Combined Honours,"Combined Honours (0206): Chemistry and Mathematics (CHEM, MATH)",,2,0,2,,
2022,Combined Honours,"Combined Honours (0517): Chemical Physics (CHEM, PHYS)",,3,0,3,,
2022,Combined Honours,"Combined Honours (0009): Physics and Astronomy (PHYS, ASTR)",,11,0,10,90.19,74.62
2022,Combined Honours,"Combined Honours (0014): Physics and Mathematics (PHYS, MATH)",,13,0,13,96.3,77.9